id,difficulty,terrain,date_hidden,favorites
GCAN4Q1,2,3,3/19/2024,0
GCAN4PR,2.5,3,3/19/2024,0
GCAN4PA,2.5,3,3/19/2024,0
GCAN4KH,1.5,1.5,3/19/2024,0
GCAN4J6,1.5,1.5,3/19/2024,1
GCAN48M,1.5,2,3/19/2024,0
GCAMYM1,2,2.5,3/19/2024,1
GCAK3ER,1,1,3/18/2024,0
GCAN3H7,1.5,1.5,3/18/2024,2
GCAN3GE,2,1.5,3/18/2024,0
GCAN3G7,1.5,1.5,3/18/2024,0
GCAN3G6,2,1.5,3/18/2024,0
GCAN3G5,2,1.5,3/18/2024,0
GCAN3FW,2,2.5,3/18/2024,1
GCAN3FT,2,2,3/18/2024,0
GCAN3FM,1.5,1.5,3/18/2024,0
GCAN3FJ,2.5,2.5,3/18/2024,1
GCAN3FG,2,3,3/18/2024,1
GCAN3F8,1.5,3,3/18/2024,1
GCAN3F6,2,3,3/18/2024,0
GCAN3F0,2,2,3/18/2024,0
GCAN3EZ,1.5,3,3/18/2024,1
GCAN3EY,2,2,3/18/2024,2
GCAN3ER,1.5,3,3/18/2024,1
GCAN3BK,1.5,1.5,3/18/2024,0
GCAN3BD,3,2,3/18/2024,0
GCAN3B1,1.5,1.5,3/18/2024,4
GCAN3AY,3,1.5,3/18/2024,0
GCAN3AH,1.5,2.5,3/18/2024,0
GCAN3A8,1,1,3/18/2024,0
GCAN3A5,1.5,2.5,3/18/2024,0
GCAN35X,2,2,3/18/2024,1
GCAN0Y1,2.5,2,3/18/2024,0
GCAKQDP,2,1.5,3/18/2024,0
GCAM9J8,1,1,3/17/2024,0
GCAM9EN,1,3,3/17/2024,0
GCAMAKR,1,1.5,3/17/2024,0
GCAKY0W,1,2.5,3/17/2024,0
GCAN27K,1.5,1,3/17/2024,0
GCAN27C,2,1.5,3/17/2024,0
GCAN278,1.5,1.5,3/17/2024,0
GCAN252,1.5,1.5,3/17/2024,0
GCAN244,3.5,4,3/17/2024,1
GCAN23Z,1.5,1.5,3/17/2024,0
GCAN23T,2,1.5,3/17/2024,0
GCAN235,1.5,1.5,3/17/2024,0
GCAN1T3,1.5,2,3/17/2024,1
GCAN1R4,2,1.5,3/17/2024,0
GCAN1QF,2,1.5,3/17/2024,0
GCAN1EA,1.5,1,3/17/2024,0
GCAN1BE,1.5,1.5,3/17/2024,0
GCAN164,2,2,3/17/2024,0
GCAN15R,1.5,2,3/17/2024,0
GCAN15C,2,3.5,3/17/2024,0
GCAN13K,3.5,3,3/17/2024,1
GCAN12G,3,2,3/17/2024,2
GCAMDXA,2,1.5,3/17/2024,0
GCAMAFX,2,2,3/17/2024,7
GCAM5KF,1.5,1.5,3/17/2024,5
GCAM4X1,1.5,2.5,3/17/2024,10
GCAK4KZ,1,1,3/16/2024,0
GCAJVCF,1,2.5,3/16/2024,0
GCAN1Z1,2,3,3/16/2024,0
GCAN1XA,2,3,3/16/2024,0
